H|1402|892.18|
C|468|8681598|210174390|||2011-11-01 15:52:37|MTN|2011-11-01 15:52:37|MTN||||||0|2201500|8008999949|3908069|
N|468|8681598|210174390|1|1|Ordinal|VALUE ADDED SERVICE|RARH|0.50|USD|2011-11-01 15:52:37|2011-11-01 15:52:37||ARARC||||||
C|468|8681598|210184316|||2011-11-09 17:53:43|MTN|2011-11-09 17:53:43|MTN||||||0|2249097|8008999949|0701595|
N|468|8681598|210184316|1|8|Ordinal|VALUE ADDED SERVICE|RARH|4.00|USD|2011-11-09 17:53:43|2011-11-09 17:53:43||ARARC||||||
C|468|8681598|210184820|||2011-11-09 17:28:27|MTN|2011-11-09 17:28:27|MTN||||||0|2249097|8008999949|0701595|
N|468|8681598|210184820|1|8|Ordinal|VALUE ADDED SERVICE|RARH|4.00|USD|2011-11-09 17:28:27|2011-11-09 17:28:27||ARARC||||||
C|468|8681598|210190003|||2011-12-16 05:26:31|MTN|2011-12-16 05:26:31|MTN||||||0|2130255|8008999949|9928382|
N|468|8681598|210190003|1|15|Ordinal|VALUE ADDED SERVICE|RARH|7.50|USD|2011-12-16 05:26:31|2011-12-16 05:26:31||ARARC||||||
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1581031|ALL CONFERENCING, 417440|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|417440||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210076256|||2012-01-06 07:26:01|MTN|2012-01-06 08:53:16|MTN||||||0|781182|8008999949|1567013|
B|468|8681598|210076256|7|84|Minute|LONG DISTANCE|L8R|0.42|USD|2012-01-06 07:29:48|2012-01-06 08:53:05|MTN|NX2BS||2608944124|18008999949||ALL CONFERENCING|
N|468|8681598|210076256|8|84|Minute|PACKAGE SURCHARGE|RDYA|0.84|USD|2012-01-06 07:29:48|2012-01-06 08:53:05|MTN|NX2BS||2608944124|18008999949||ALL CONFERENCING|
B|468|8681598|210076256|1|88|Minute|LONG DISTANCE|L8R|0.44|USD|2012-01-06 07:26:05|2012-01-06 08:53:06|MTN|NX2BS||7403876921|18008999949||Participant 1|
N|468|8681598|210076256|2|88|Minute|PACKAGE SURCHARGE|RDYA|0.88|USD|2012-01-06 07:26:05|2012-01-06 08:53:06|MTN|NX2BS||7403876921|18008999949||Participant 1|
B|468|8681598|210076256|3|86|Minute|LONG DISTANCE|L8R|0.43|USD|2012-01-06 07:27:39|2012-01-06 08:53:05|MTN|NX2BS||6163963541|18008999949||Participant 2|
N|468|8681598|210076256|4|86|Minute|PACKAGE SURCHARGE|RDYA|0.86|USD|2012-01-06 07:27:39|2012-01-06 08:53:05|MTN|NX2BS||6163963541|18008999949||Participant 2|
B|468|8681598|210076256|5|85|Minute|LONG DISTANCE|L8R|0.43|USD|2012-01-06 07:29:03|2012-01-06 08:53:07|MTN|NX2BS||3304548404|18008999949||Participant 3|
N|468|8681598|210076256|6|85|Minute|PACKAGE SURCHARGE|RDYA|0.85|USD|2012-01-06 07:29:03|2012-01-06 08:53:07|MTN|NX2BS||3304548404|18008999949||Participant 3|
B|468|8681598|210076256|9|83|Minute|LONG DISTANCE|L8R|0.42|USD|2012-01-06 07:30:49|2012-01-06 08:53:08|MTN|NX2BS||4403576563|18008999949||Participant 5|
